C,Test_error,Train_error,kernel_h_p
25,97.25274725,100,31
25,96.97802198,100,32
25,96.97802198,100,33
25,96.97802198,100,34
25,96.97802198,100,35
25,96.97802198,100,36
25,96.97802198,100,37
25,96.97802198,100,38
25,96.97802198,100,39
25,96.97802198,100,40
26,96.15384615,99.9214454,21
26,96.97802198,100,22
26,96.97802198,100,23
26,96.97802198,100,24
26,96.97802198,100,25
26,96.97802198,100,26
26,96.97802198,100,27
26,96.97802198,100,28
26,96.97802198,100,29
26,96.97802198,100,30
26,97.25274725,100,31
26,96.97802198,100,32
26,96.97802198,100,33
26,96.97802198,100,34
26,96.97802198,100,35
26,96.97802198,100,36
26,96.97802198,100,37
26,96.97802198,100,38
26,96.97802198,100,39
26,96.97802198,100,40
27,96.15384615,99.9214454,21
27,96.97802198,100,22
27,96.97802198,100,23
27,96.97802198,100,24
27,96.97802198,100,25
27,96.97802198,100,26
27,96.97802198,100,27
27,96.97802198,100,28
27,96.97802198,100,29
27,96.97802198,100,30
27,97.25274725,100,31
27,96.97802198,100,32
27,96.97802198,100,33
27,96.97802198,100,34
27,96.97802198,100,35
27,96.97802198,100,36
27,96.97802198,100,37
27,96.97802198,100,38
27,96.97802198,100,39
27,96.97802198,100,40
28,96.15384615,99.9214454,21
28,96.97802198,100,22
28,96.97802198,100,23
28,96.97802198,100,24
28,96.97802198,100,25
28,96.97802198,100,26
28,96.97802198,100,27
28,96.97802198,100,28
28,96.97802198,100,29
28,96.97802198,100,30
28,97.25274725,100,31
28,96.97802198,100,32
28,96.97802198,100,33
28,96.97802198,100,34
28,96.97802198,100,35
28,96.97802198,100,36
28,96.97802198,100,37
28,96.97802198,100,38
28,96.97802198,100,39
28,96.97802198,100,40
29,96.15384615,99.9214454,21
29,96.97802198,100,22
29,96.97802198,100,23
29,96.97802198,100,24
29,96.97802198,100,25
29,96.97802198,100,26
29,96.97802198,100,27
29,96.97802198,100,28
29,96.97802198,100,29
29,96.97802198,100,30
29,97.25274725,100,31
29,96.97802198,100,32
29,96.97802198,100,33
29,96.97802198,100,34
29,96.97802198,100,35
29,96.97802198,100,36
29,96.97802198,100,37
29,96.97802198,100,38
29,96.97802198,100,39
29,96.97802198,100,40
30,96.15384615,99.9214454,21
30,96.97802198,100,22
30,96.97802198,100,23
30,96.97802198,100,24
30,96.97802198,100,25
30,96.97802198,100,26
30,96.97802198,100,27
30,96.97802198,100,28
30,96.97802198,100,29
30,96.97802198,100,30
30,97.25274725,100,31
30,96.97802198,100,32
30,96.97802198,100,33
30,96.97802198,100,34
30,96.97802198,100,35
30,96.97802198,100,36
30,96.97802198,100,37
30,96.97802198,100,38
30,96.97802198,100,39
30,96.97802198,100,40
31,96.15384615,99.9214454,21
31,96.97802198,100,22
31,96.97802198,100,23
31,96.97802198,100,24
31,96.97802198,100,25
31,96.97802198,100,26
31,96.97802198,100,27
31,96.97802198,100,28
31,96.97802198,100,29
31,96.97802198,100,30
31,97.25274725,100,31
31,96.97802198,100,32
31,96.97802198,100,33
31,96.97802198,100,34
31,96.97802198,100,35
31,96.97802198,100,36
31,96.97802198,100,37
31,96.97802198,100,38
31,96.97802198,100,39
31,96.97802198,100,40
32,96.15384615,99.9214454,21
32,96.97802198,100,22
32,96.97802198,100,23
32,96.97802198,100,24
32,96.97802198,100,25
32,96.97802198,100,26
32,96.97802198,100,27
32,96.97802198,100,28
32,96.97802198,100,29
32,96.97802198,100,30
32,97.25274725,100,31
32,96.97802198,100,32
32,96.97802198,100,33
32,96.97802198,100,34
32,96.97802198,100,35
32,96.97802198,100,36
32,96.97802198,100,37
32,96.97802198,100,38
32,96.97802198,100,39
32,96.97802198,100,40
33,96.15384615,99.9214454,21
33,96.97802198,100,22
33,96.97802198,100,23
33,96.97802198,100,24
33,96.97802198,100,25
33,96.97802198,100,26
33,96.97802198,100,27
33,96.97802198,100,28
33,96.97802198,100,29
33,96.97802198,100,30
33,97.25274725,100,31
33,96.97802198,100,32
33,96.97802198,100,33
33,96.97802198,100,34
33,96.97802198,100,35
33,96.97802198,100,36
33,96.97802198,100,37
33,96.97802198,100,38
33,96.97802198,100,39
33,96.97802198,100,40
34,96.15384615,99.9214454,21
34,96.97802198,100,22
34,96.97802198,100,23
34,96.97802198,100,24
34,96.97802198,100,25
34,96.97802198,100,26
34,96.97802198,100,27
34,96.97802198,100,28
34,96.97802198,100,29
34,96.97802198,100,30
34,97.25274725,100,31
34,96.97802198,100,32
34,96.97802198,100,33
34,96.97802198,100,34
34,96.97802198,100,35
34,96.97802198,100,36
34,96.97802198,100,37
34,96.97802198,100,38
34,96.97802198,100,39
34,96.97802198,100,40
35,96.15384615,99.9214454,21
35,96.97802198,100,22
35,96.97802198,100,23
35,96.97802198,100,24
35,96.97802198,100,25
35,96.97802198,100,26
35,96.97802198,100,27
35,96.97802198,100,28
35,96.97802198,100,29
35,96.97802198,100,30
35,97.25274725,100,31
35,96.97802198,100,32
35,96.97802198,100,33
35,96.97802198,100,34
35,96.97802198,100,35
35,96.97802198,100,36
35,96.97802198,100,37
35,96.97802198,100,38
35,96.97802198,100,39
35,96.97802198,100,40
36,96.15384615,99.9214454,21
36,96.97802198,100,22
36,96.97802198,100,23
36,96.97802198,100,24
36,96.97802198,100,25
36,96.97802198,100,26
36,96.97802198,100,27
36,96.97802198,100,28
36,96.97802198,100,29
36,96.97802198,100,30
36,97.25274725,100,31
36,96.97802198,100,32
36,96.97802198,100,33
36,96.97802198,100,34
36,96.97802198,100,35
36,96.97802198,100,36
36,96.97802198,100,37
36,96.97802198,100,38
36,96.97802198,100,39
36,96.97802198,100,40
37,96.15384615,99.9214454,21
37,96.97802198,100,22
37,96.97802198,100,23
37,96.97802198,100,24
37,96.97802198,100,25
37,96.97802198,100,26
37,96.97802198,100,27
37,96.97802198,100,28
37,96.97802198,100,29
37,96.97802198,100,30
37,97.25274725,100,31
37,96.97802198,100,32
37,96.97802198,100,33
37,96.97802198,100,34
37,96.97802198,100,35
37,96.97802198,100,36
37,96.97802198,100,37
37,96.97802198,100,38
37,96.97802198,100,39
37,96.97802198,100,40
38,96.15384615,99.9214454,21
38,96.97802198,100,22
38,96.97802198,100,23
38,96.97802198,100,24
38,96.97802198,100,25
38,96.97802198,100,26
38,96.97802198,100,27
38,96.97802198,100,28
38,96.97802198,100,29
38,96.97802198,100,30
38,97.25274725,100,31
38,96.97802198,100,32
38,96.97802198,100,33
38,96.97802198,100,34
38,96.97802198,100,35
38,96.97802198,100,36
38,96.97802198,100,37
38,96.97802198,100,38
38,96.97802198,100,39
38,96.97802198,100,40
39,96.15384615,99.9214454,21
39,96.97802198,100,22
39,96.97802198,100,23
39,96.97802198,100,24
39,96.97802198,100,25
39,96.97802198,100,26
39,96.97802198,100,27
39,96.97802198,100,28
39,96.97802198,100,29
39,96.97802198,100,30
39,97.25274725,100,31
39,96.97802198,100,32
39,96.97802198,100,33
39,96.97802198,100,34
39,96.97802198,100,35
39,96.97802198,100,36
39,96.97802198,100,37
